"","show_title","reviewer_name","review_date","rating","review_title","helpful_votes","review_text"
"1",NA,"nancyldraper","Nov 21, 2021",9,"Visually stunning",NA,"Made by gamers (RIOT) for gamers, but, also, is a stand alone piece of art for people, like me, unfamiliar with the game, LEAGUE OF LEGENDS. The series is visually stunning in 3D and 2D animation with beautiful attention to detail. There is incredible world building, an engaging story line, music that serves as narration and a stellar voice cast. I give this series a 9 (superb) out of 10. {Steampunk Fantasy Adventure}"
"2",NA,"stevebondi","Nov 9, 2021",10,"Coolest animation style I have seen to date in any TV series or movie! :-)",NA,"I am a newbie to the source material, but the first 3 episodes of this show blew me away! And, now having seen the whole first season, my rating remains even more solidly a 10! :-)Groundbreaking/beautiful animation, awesome environments, spectacular cinematography, cool musical choice, compelling characters, great voice casting/acting, and some interesting Sci-Fi/Fantasy lore! :-)YOU HAVE TO SEE THIS SHOW!!! :-)"
"3",NA,"Tactrix","Nov 6, 2021",10,"This is ART!",NA,"Beautiful storytelling, great underline currents, and the emotion behind this is just amazing. The story is for everyone, but especially for League of Legends fans. The entire time I was watching it I was trying to piece together who is whom. And some of them are obvious but other ones really make you dig deep and see where they're trying to head.I truly believe this is a fantastic series, I love everything I've seen of it so far. 10/10 a complete knockout."
"4",NA,"garabedian123","Nov 7, 2021",10,"LOL is a video game right?",NA,"I have heard of it but never played it. When i first turned this on and saw kids i immediately turned it off and sighed ""not another kids show"". But then i kept watching and realized this is not a kids show. It just has kids as characters. But wow it got dark and good."
"5",NA,"djurrepower","Nov 6, 2021",9,"Excellent, also for non league fans",NA,"I watched it with my parents who don't know anything about league's universe. I have been playing league since 2010, So my opinion may be a bit biased.But my parents were pleasantly surprised. They said that sometimes it was a little clear that this series is more aimed at a young adult audience. Some usage of the pop songs, and the villian being a little over the top mustace twirly.But overall they enjoyed the first 3 episodes and wouldn't mind watching the rest in their own time.As for me. I loved it! It was everything I hoped for and then some. Riot's art department was always on their A game. And with the track record from Fortiche I knew this had very little chance to blunder.Knowing Riot's art department it has an excellent story, well written charaters and a lore rich world to take elements from. All in all, this show comes together very nicely. And shows some of the best talents Riot has to offer.9/10: Amazing."
"6",NA,"Pairic","Nov 18, 2021",9,"Great Steampunk Adventure",NA,"Arcane: An animated SF/Fantasy Steampunk series on Netflix. In the cities of Piltover and Zaun there is unrest, Piltover the upper city literally looks down on and oppresses Zaun. We have gangs of thieves, rebels, steampunk Stormtroopers, magic melded with science. This is serious stuff with great physical and ""magic"" fights. Also a tale of two sisters falling out and Scientist/Mages battling against the conservatism of the Council who fear the unleashing of uncontrollable powers. It's set in the League Of Legends game universe. Directed by Pascal Charrue and Arnaud Delord, written by Christian Linke and Alex Yee. 9/10."
"7",NA,"Harun_Karali","Nov 19, 2021",10,"Brilliant Writing is Pushed to the Stratosphere by Masterful Visuals",NA,"As someone who had never played the game before, this was a great introduction to its lore. The story was riveting and the pacing was perfect. And the amazing animation and soundtrack just enhanced the entire viewing experience. The VAs did an incredible job as well, particular the VA for Powder/Jinx."
"8",NA,"jasminn_tan","Nov 20, 2021",10,"Wow!",NA,"I'm not a League of Legends player. In fact, I know almost nothing about it. But this show is fantastic. To say that the opening scenes of the first episode were ""gripping"" is an understatement. I don't often start on the edge of my seat with a TV show-- animated or live action.(UPDATE 1/14/2022: Rewatching the show for the second time and the opening scene still puts me at the edge of my seat, holding my breath. Wow.)The animation is well above average for a TV series. It's atmospheric in ways that most animated series don't even try. This isn't just another Star Wars-style animated series. It feels distinctly unique.The characters are also really interesting. Again, I know nothing about League of Legends. But based on the series description, I'm assuming at least a couple of these characters become a league champion? Ultimately, I have no idea what that really means. But I'm interested in finding out.And that's why I think this series is really successful. I don't know anything about the source material, but after just the opening scenes of the first episode, I'm invested in finding out more.10/10 easily. I would give it that score just for the first few minutes of the series alone."
"9",NA,"jhuebel","Nov 6, 2021",10,"Not A League of Legends Player, This is FANTASTIC",NA,"Arcane tells the story of two young orphaned sisters, growing up and getting into trouble in the dual city of Zaun and Piltover.The series is based on the video game League of Legends, and although it drops you right into this fictional world, the necessary time and care is taken to set up places and characters in a commendable show-don't-tell fashion. Solid character development and world building means it's an entirely enjoyable watch without knowing anything about the game.The animation is outright exquisite. As an anime fan, I found the animation in Arcane to be leagues beyond anything I've ever seen from an animated series before. There is an incredible attention to detail. It's clear that no artistic talent or monetary expense was spared in bringing the world of Runeterra to life.Great soundtrack, great acting and a compelling story that doesn't pull any punches when it comes to violence and more adult themes.So far only the first three episodes have been released, and I can't wait to see what else they have in store for us!"
"10",NA,"Tweekums","Dec 24, 2021",10,"An animated sci-fi epic",NA,"Arcane (2021)I have never played a single minute of League of Legends in my life but I always knew how influential this online game is. Normally, I wouldn't have paid attention to this series but considering the 9.4 on IMdB, I had to check out at least an episode to see what is so incredible about it. Starting of in a rather casual way, I wasn't too impressed with what I saw in that first episode, but the cliffhanger made me want to see what would happen next. Once I climbed that cliff, I was immersed into a fast paced steampunk world that had a lot to offer and many more cliffhangers to be experienced.The animation style of this series is best described as taking 6 buckets of paint, throwing them into a 10,000 volt transformer and stepping into the electrical blend of colors to be engulfed in the sheer awesomeness. As you adjust to this dynamic animation, you wilk see a story of an inventor, an underworld crime boss and a girl who wants to find her sister. All of these characters find themselves in the middle of a political intrigue that involves a utopian city and a rotten underbelly with it's social classes striving to achieve their goals by any means necessary. To top it off, there is plenty of emotional stuggle between family, friends and enemies.While all the technical, sound and visual aspects are second to none, it is the characters that made me want to come back to this series again and again. The show is irresistible to watch and the two reasons for that are the masterfully crafted intro that got me pumped in the beginning of each episode and the nail-biting cliffhangers that made me want to see hiw the story continues. Whether you like videogames or not, this show will grab your interest and won't let up until the final second. At that point, you will be anxiously waiting for season 2 which I hope will come very soon.Movies.shmovies on Instagram for movie and TV Show reviews."
"11",NA,"JohnGrizis","Nov 27, 2024",7,"Arcane",NA,"Here's to the new us.League of Legends (LoL)' first project in expanding its own cinematic universe is done. The story between sisters, rich and poor, loyalty and betrayal, peace and war, and everything in between.There's a common saying that LoL's big budget went into animation instead of balancing the champions in game, and this couldn't be more right. I did not expect this masterful level of animation. After each episode, they found more ways to wow audiences with amazing visuals and transitions. The fighting scenes were hard-hitting and jaw-dropping.Even though the series wasn't fully canon to the original lore, it's still an intense story that set up an interesting universe. Not gonna lie, the first act didn't impress me too much, but episode 4 afterward got me entirely on board. My only problem with the story was that I just couldn't get enough of it. I wanted more and I don't like waiting.Just as cool as the animation was the characters. Many character dynamics fascinated me and made me realized how much I needed them. I'll admit that some characters were straightforward, but not all of them were predictable. Some still surprised me until the very end. The directions for all characters were incredible.Overall, even though the game was a love-hate relationship, Arcane was for sure all love, and a phenomenal step in setting up LOLCU. 8.5/10."
