"","ranks"
"1","1. Breaking Bad"
"2","2. Planet Earth II"
"3","3. Planet Earth"
"4","4. Band of Brothers"
"5","5. Chernobyl"
"6","6. The Wire"
"7","7. Avatar: The Last Airbender"
"8","8. Blue Planet II"
"9","9. The Sopranos"
"10","10. Cosmos: A Spacetime Odyssey"
"11","11. Cosmos"
"12","12. Our Planet"
"13","13. Game of Thrones"
"14","14. Bluey"
"15","15. The World at War"
"16","16. Fullmetal Alchemist: Brotherhood"
"17","17. Rick and Morty"
"18","18. Life"
"19","19. The Last Dance"
"20","20. The Twilight Zone"
"21","21. The Vietnam War"
"22","22. Sherlock"
"23","23. Attack on Titan"
"24","24. Batman: The Animated Series"
"25","25. Arcane"
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
