"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","DoomOfSarnath","Reviewed in the United States on September 17, 2023","","Well, for $190-$230 this tablet might not be the best at one particular thing, but thanks to some common-sense decisions and Amazon's resources and commitment, it's competent enough at everything, all at once.Media consumption, retro games, word processing, digital art, battery life, you name it.For media consumers, it has an obscenely long battery life and a pretty nice screen. Contrast is surprisingly good for an IPS display (the black areas look black), colors are very poppy, and the 5:3 aspect ratio means you're not losing much space on either 16:9 or 4:3 content.For retro games, let's talk about the processor. It has a Mali G57 MC2, 2 Cortex A78 cores, and 6 Cortex A55 cores. Anyone who keeps up with Android hardware will know this is a bizarre setup. The Mali G57 MC2 and Cortex A55s are all modest, cheap, power-sipping technology. While the Cortex A78s are freakishly fast for this price point.But I'm certain Amazon did this on purpose, and it's responsible for the great battery life, which is essential for what is basically a media consumption tablet. The modest GPU and high number of ""little"" cores keep battery drain minimal (this is a 5w chip, in a tablet, where 7-10w chips are the norm) while 2 A78s give it some serious oomph for the right sorts of tasks.This accidentally makes this little tablet a retro gaming powerhouse, as that relies heavily on single-core performance, with the GPU and secondary cores being an afterthought.So, it's a tablet that just excels at anything where you'll be using the screen a lot. Reading, movies, old games, etc. It may struggle with native Android games due to the weaker GPU, but compared to retro games there aren't a lot of worthwhile Android games anyway IMO.The keyboard and stylus are also very well executed.I'm typing this review on the keyboard case, and the keys are a nice size thanks to the TKL form factor, with short travel and a nice tactile, springy feel. The trackpad is small, but accurate and doesn't ""lose"" my finger.The stylus itself uses a user-replaceable AAAA battery. I like this decision, because small Li-po batteries wear out fast, and the AAAA means that the stylus has a super long life without worrying about whether you'll be able to find a replacement in a few years. The stylus is also magnetic and clips to the side of the tablet.The stylus is pretty accurate. I don't notice much parallax or judder. My Galaxy Tab S8 actually had slightly more parallax. However, there is more input lag than you'll get with something like a Galaxy Tab S8 or iPad with Apple Pencil. It's a quite noticeable amount of input lag compared to those two. I will mention, this tablet is about 1/3 the price of those devices and actually has a longer battery life. So it's still better than you expect for the price. But will definitely be more of an ""entry level"" art tablet instead of something outstanding.All in all, I still think you're getting a lot more for your money with this tablet than the others available. Amazon's reach with e-readers, with keyboards, with stylus peripherals, with tablets, and their resources and supply chain (ie, being able to order unusual tablet SoCs) has definitely given the Kindle Fire 11 a wider spread of abilities and better quality than your ordinary budget tablet. I can't really name anything I'd expect to be better for the price.The only real flaw is software; since Google Play is not preloaded and Amazon is not putting a lot of effort into their own App store, be prepared to sideload some apps if you want to use the broader spectrum of abilities this tablet has.",5,NA
"2","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","MS. O","Reviewed in the United States on November 22, 2024","It's good enough at everything, for people who want one device to do anything.","The Amazon Fire Max 11 is an incredible all-in-one device! The vivid 11” display is stunning—perfect for streaming movies, reading eBooks, or gaming. The colors are vibrant, and the resolution makes everything look crisp and clear.It’s lightweight, easy to handle, and has a long-lasting battery that keeps up with my busy day. Whether I’m binge-watching shows or tackling work tasks, this tablet handles it all effortlessly.The overall performance is smooth, with plenty of storage for apps and media. It’s a fantastic value for the price. Highly recommend this tablet to anyone looking for a reliable, multifunctional device!",5,NA
"3","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","Missy","Reviewed in the United States on November 23, 2024","","I've been using the fire max for over a year now. I have always been a kindle user. I must say this is the most superior so far. The speed is great the battery life is awesome. The new pressure sensitive stylus using the artrage app turns this fire into a superb drawing tablet. In my opinion you can't go wrong with the fire max 11. The size is perfect, the display is very vivid, and the speed is fast. The stylus uses a AAAA battery which at first I was disappointed with but it's been over a year and I'm still using the battery that came with it and I draw every day for for hours to a time. Now I see the battery as a plus, as I don't have to wait for it to charge. I assume someday I'll have to change the battery, but the tester says it's still has half left in it. So I'll be changing it next year 😂",5,NA
"4","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","Missy","Reviewed in the United States on November 19, 2024","""Versatile and Powerful Tablet!""","The good:The clearness of the screen while watching movies is nothing short of astonishing---brilliant, clear picture.  I bought the optional keyboard, and it's very functional and well made.  The size is wonderful; it's just big enough.The bad:The sound wildly fluctuates from movie to movie.  On The Lion in Winter, 1968, with Katharine Hepburn, I really had to turn it up.  On Miami Vice the series,I  hardly had to turn it up at all.The search button is very erratic.  It kept telling me I had to purchase something I knew I had already purchased.  The amazing Live Chat at Amazon customer service got it straightened out by telling me not to use the search button, but instead find something by going into My Purchases.  That works, but Amazon needs to either fix the Search button or eliminate it entirely.I've had to become a computer expert not by choice but by necessity, and here are some techie things:You can't change the Silk Browser to a different browser, and if you go to the Internet on the Silk Browser, expect many tiresome ads;You can't use a VPN (Virtual Private Network);You can't block ads if you've purchased the Fire Max 11 version that permits them.  For example, when playing a trailer for a movie, ads popped up.  Infuriated, since I paid for no ads, I immediately Live Chatted Amazon Customer Service and they removed them;Absolutely no printed manual came with this device.  To be fair, that's the rule nowadays, more's the pity.When all is said and done, I really, really like it.  One small gripe, though: I would never have bought this thing and all its' accessories if I was still able to watch Amazon Prime on my Windows 7 laptop.  When I tried, a dialog box came up telling me if I wanted to watch, I had to upgrade my computer to Windows 10 or higher.  I found that irritating, because I could still watch trailers for movies on my Windows 7 laptop!  So, I asked myself, if it can play trailers, why on earth can't it play movies?  But that's a small irritant.  Overall, I really like the Fire Max 11 and all the accessories I bought to go with it.",5,NA
"5","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","Ter",NA,"",NA,4,NA
"6","Laptop","Certified Refurbished Fire HD 10 tablet","Alex","Reviewed in the United States on October 31, 2023","","I recently acquired the Certified Refurbished Fire HD 10 tablet, and I must say, it's a fantastic budget-friendly alternative for anyone in need of a reliable tablet. This refurbished device offers a great value for the price, with its impressive display, long-lasting battery, and ample storage options.Certified Refurbished Assurance: One of the standout features of this tablet is its ""Certified Refurbished"" status. It's reassuring to know that the device has been thoroughly tested and certified to look and work like new. Plus, it comes with the same limited warranty as a brand-new tablet, providing peace of mind for buyers.Long-Lasting Battery: The Fire HD 10 tablet boasts a 12-hour battery life, which is impressive for a device in this price range. Whether you're using it for work, entertainment, or browsing, you can rely on it to last throughout the day without needing constant recharging.Ample Storage Options: With 32 or 64 GB of internal storage, this tablet provides enough space for your apps, documents, photos, and videos. If that's not enough, you have the option to expand your storage by up to 1 TB with a microSD card (sold separately), ensuring you'll never run out of space for your digital content.Vivid Full HD Display: The 10.1"" 1080p Full HD display is undoubtedly one of the tablet's highlights. It offers a vibrant and crisp visual experience, with more than 2 million pixels. The fact that it's 10% brighter than the previous generation makes it even more appealing for media consumption, reading, and web browsing.Affordable Price Point: This Certified Refurbished Fire HD 10 tablet provides exceptional value for its cost. It's an affordable option for individuals and families who want a reliable tablet without breaking the bank.Amazon Ecosystem Integration: If you're already immersed in the Amazon ecosystem with Prime membership, Kindle books, or other Amazon services, this tablet seamlessly integrates with them, enhancing your overall experience.The Certified Refurbished Fire HD 10 tablet is a solid choice for those seeking a budget-friendly tablet that doesn't compromise on quality. Its Certified Refurbished status ensures reliability, the long-lasting battery is perfect for all-day use, and the bright Full HD display enhances your viewing experience. While it may not have all the bells and whistles of premium tablets, it offers exceptional value for the price. Whether you're using it for work or play, this tablet is a practical and cost-effective solution that deserves consideration.",5,NA
"7","Laptop","Certified Refurbished Fire HD 10 tablet","Suzanne Mc","Reviewed in the United States on December 5, 2024","A Remarkable Deal: Certified Refurbished Fire HD 10 Tablet","This is a great tablet! Screen is very clear. It runs great and holds a lot of storage. Its lightweight and easy to take along. Its CPU is pretty fast. Highly recommend!",5,NA
"8","Laptop","Certified Refurbished Fire HD 10 tablet","Dave","Reviewed in the United States on September 8, 2024","","I purchased this tablet to use for lyrics, backing tracks, and set lists. I’m a solo musician and a side man for others including some large concerts. I researched some programs and tablets that would suit my needs. I find this 10” tablet to be just the ticket. I read a few complaints that it was slow. I find it plenty fast, easy to transfer files from a PC, the sound is pretty good using Bluetooth but better hard wired, no gaps or drop outs in the sound. It’s big enough to read set lists and lyrics at five or six feet. I have also used it for sheet music on occasion with success. All in all a great product and a bargain.",5,NA
"9","Laptop","Certified Refurbished Fire HD 10 tablet","*MARIE*","Reviewed in the United States on July 26, 2024","Perfect!","Got this for my daughters birthday a few months ago, she loves it. Works perfectly fine. Great size for watching movies and videos.Make sure to purchase a case for protection",4,NA
"10","Laptop","Certified Refurbished Fire HD 10 tablet","Luis A. Perez","Reviewed in the United States on August 6, 2024","","I have been wanting to write this review for some time but now I'm finally getting to this.  Before this tablet I had the Fire HD 8 2020 and then the Asus Chromebook tablet CT100.  The Fire HD 8 was very sluggish, and I will never go back to smaller tablets because it was becoming unusable, and you could not even browse the web.  The Chromebook tablet was much better and was able to browse the web and use YouTube, but YouTube would hang up quite a bit.  So I finally upgraded to the Fire HD 10 2021 and I am very satisfied with this.  This would be the lowest budget version I would recommend to anyone, stick with the 10 inch version or higher.  I love using this, I can easily browse the web and work on my college classes as well.  I use many streaming services like Netflix, Crunchyroll, Hulu, Prime Videos and Paramount.  I use the offline feature alot for when I travel so I can watch movies on the go.  The battery life is also amazing and charge it about once or twice a week.  My main use is YouTube, so although YouTube is not officially supported I enjoy using it.  I do run into some issues if I am trying to multi task with YouTube and browse the web, or if there are background downloads of videos than YouTube will hang up.  But other than that it works great and I know this tablet was not optimized for YouTube and I think it has about 3GB of RAM.  So the Fire Max 11 would most likely work perfectly with barely any hangups.",5,NA
