"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","hammer","Reviewed in the United States on November 30, 2024","5.0 out of 5 stars","This camera is very easy to install...just plug it in!  The phone app recognized it immediately and it works perfectly.  This is a good upgrade from the Mini original that has also been working flawlessly for several years.  Better picture, small spotlight, and the black color is easier to hide from my dog Roscoe!  In fact, I call it my ""Roscoe cam"" as I use it to monitor him when I'm away.  The motion sensing function is excellent, and the camera comes up in the app quickly.  I had to turn off the notification option, as Roscoe was triggering the camera and sending a notification to my phone every few minutes when home alone.  Easy to do in the app.  Really good quality device, especially considering it doesn't break the bank!!",5,NA
"2","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","Barbara","Reviewed in the United States on December 5, 2024","","We had 2 Rings doorbells that kept losing WiFi connection and would not connect back so we thought we would try blink. We got a Black Friday deal that came with 2 cameras and a module. We have had them for almost a week now and have had no problems. No lost wifi  connection, motion detection alerts and pictures and live view are great. We are very happy with Blink and plan to purchase some additional devices.installation was very easy!",5,NA
"3","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","SharJar","Reviewed in the United States on December 1, 2024","Nice picture!","I was already in the Blink family prior to purchasing these cameras. I avidly used the Blink (first gen) indoor cameras to keep an eye out on my cats as well as any possible intruders.The first gen worked so well for me that I thought I should give the Blink 2 a try. They did not disappoint. Better picture quality AND it tells you the different type of motion in your home (whether it’s an animal or a person or a dust bunny caught on camera).I also have the Blink Doorbell and the App interface pairs perfectly with the entire camera system.If you want reliability that’s worth the price, this camera is the way to go.",5,NA
"4","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","Tiffany e.","Reviewed in the United States on November 11, 2024","5.0 out of 5 stars","I've been using blink system sir a while. Over all good. Clear pictures. Night vision. The outdoor ones also include a bright light of needed or set with ""motion"". Timer options. Good feature. Sounds is good a bit low and some lag on the talking feature but decent. Can live view. Have multiple cameras in a group. Only cons are , they go ""offline"" randomly and nothing can do ton reset remotely. Have to come home, unplug n plug. Not very useful if away from home/ vacation. Also can not continuously live view. I believe it's 3 or 5 min intervals then have to go back in to the camera. For the price and what it can do, it's worth it. I have 6.",4,NA
"5","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","Scott M.","Reviewed in the United States on November 15, 2024","","Had nothing but trouble with my Ring outdoor floodlight camera.  So during Prime days...I jumped on the Blink bandwagon and boy and I glad I did.  I haven't had a single issue to date.  I've even ordered more cameras.  They're fantastic!  The resolution is great and the options you have in the setup is great.  You can turn the LED indicators off so it's not obvious the camera is on, you can turn the sound off, and a whole lot more.  They work great in the dark too!  I've got one indoor cam, a doorbell camera, the wired floodlight camera, and two outdoor cameras.  And the app is great too!",5,NA
"6","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","Breno","Reviewed in the United States on November 26, 2024","Blink works great!","I recently got the Blink Mini 2 for home security, and I’m really impressed. The camera is compact and easy to set up—just plug it in, connect to the app, and you’re good to go. The HD video quality is excellent, and I love that I can see clearly even at night thanks to the night vision feature.What’s great is how customizable the settings are. I can adjust the motion detection zones to avoid unnecessary alerts, and the two-way audio lets me communicate with anyone at my door, which is a huge plus. Plus, the app is intuitive and lets me check the camera feed anytime, anywhere.The only downside is that it needs to be plugged in, so you have to place it near a power source, but that’s a small trade-off for the great performance. Overall, the Blink Mini 2 is a solid, affordable option for home security. Highly recommend!",5,NA
"7","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","Reader from the suburbs","Reviewed in the United States on December 12, 2024","5.0 out of 5 stars","I ordered some of the wireless Blink cameras (love them) but decided there was no need for them all to be wireless throughout my home.  These little wired cameras are GREAT.  I just love them.  Great picture, quick notification of any motion - often while the video is still recording too!!  I put together a nice set of cameras for my entire home, the app works great, and I even decided to sign up for the yearly subscription too.  Great peace of mind and latest technology too.  Thank you, Blink!",5,NA
"8","Camera","Blink Mini 2 [Newest Model] - Home Security & Pet Camera(s) with HD video, color night view, motion detection, two-way audio, and built-in spotlight - 1 camera (Black)","C wasi","Reviewed in the United States on October 27, 2024","","""I recently installed the Blink 2 Camera, and it's exceeded my expectations! The setup was seamless, taking less than 10 minutes. The camera's compact design blends perfectly into my home decor.Image quality is crisp and clear (1080p), with excellent low-light performance. Motion detection alerts are timely and customizable.Key features that impressed me:- Easy installation and setup- High-quality video and night vision- Customizable motion detection zones- Affordable price pointThe Blink app is user-friendly, allowing me to monitor my home from anywhere. The camera's weather resistance and wireless design make it perfect for indoor/outdoor use.Highly recommend the Blink 2 Camera for its:- Reliability- Ease of use- Affordability- Excellent video qualityA must-have for home security!""Pros:- Easy setup- High-quality video- Customizable motion detection- AffordableCons: noneRecommendation: purchase the module if you choose not to pay for the subscription*Rating:* 5/5 stars",5,NA
"9","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Gail Johnston","Reviewed in the United States on December 3, 2024","5.0 out of 5 stars","I bought this to replace a T3 camera. It is so similar, making the learning curve easy. The photos are sharper than my old camera. Very pleased with purchase.",5,NA
"10","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Sharon Leshikar","Reviewed in the United States on December 11, 2024","","I'm getting better and better with this.  I am a house flipper and now a realtor.  I work with a bank, so that I go wherever their foreclosure happens to be.  With large towns, it is easy to find a photographer but in a small town they want hundreds of dollars more for less work (no competition).  My photographer put this in my cart with a special lens n I take my own photos when I am too far away from him.  They look good.  It has saved me much more money than it cost, that is for sure!",5,NA
"11","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Lola Grimes","Reviewed in the United States on December 6, 2024","Good camera","I wanted a good camera to take on an Alaskan vacation.  I purchased the Canon TR7.  Trying to learn the different things it will do. It makes real good pictures.  It is easier to use when you figure it out",5,NA
"12","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Samantha S.","Reviewed in the United States on September 21, 2024","5.0 out of 5 stars","I just bought to take pictures of my kiddo & it has been super user friendly & wonderful. You don’t have to be a photographer to figure it out & use it. Quality of pictures is good even with using the preset settings. The WiFi connectivity feature is great for ease of transferring photos from the camera to your phone easily without the hassle of taking of the card and putting into the laptop. The size is perfect for not needing too much storage space and it come with a strap so you can put it around your neck to capture your moments. 10/10 recommend.",5,NA
"13","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Pavel Pyndrys","Reviewed in the United States on June 26, 2024","","A good basic DSLR camera, no argument. The kit gives you two lenses to use according to what you intend to shoot, at a price much less than if you were to buy those lenses separately. HOWEVER, once your pictures have been taken, the ability to transfer them to another device (smartphone or computer) is done wirelessly using wifi, and that is where the problem lies. I could never establish a consistent connection between the camera and my phone -- the software might work one time but not the next. Would have much preferred if there had been provided the appropriate cable for making such transfers. I've wasted so much time trying to get help from Youtube videos, without success, so I'm throwing in the towel and returning everything. Do yourself a favor and avoid the aggravation by choosing another option. /// UPDATE: Rather than return this camera I decided I would give the folks at Canon an opportunity to help (don't forget the Youtube videos necessarily, but maybe they weren't my best first choice). I was very pleasantly surprised by how well the support group at Canon helped me to understand how their camera-to-phone connection worked. First, there were NO long wait times to reach someone to talk to, both chat and phone personnel (LIVE, not bots, at least it seemed). They were friendly, patient, and caring. And knowledgeable! I am now able to easily transfer photos from my camera to my phone without any glitches. I did learn, however, that transferring videos is best done to a computer, as a computer will recognize Canon's video format while a phone may not. For that you'll need a mini USB cable (I advised Canon that it would be a sensible item to include with the camera kit, but it is conveniently available on Amazon). I can now confidently give this Canon camera kit a 4-star rating because I'm still getting familiar with its various modes of operation, otherwise I might have gone higher.",4,NA
"14","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","aubree","Reviewed in the United States on November 22, 2024","Worth it","I love this camera but I do regret not looking a bit more into more professional portrait photography opinions and options for both the body and lenses. Though it does work I feel like I could have done better in that aspect. Now in every other way this thing is great. If you’re looking for an every day camera to just document or practice pretty much anything else but going into portraits for a profession, I really think this thing would be the one for you!",5,NA
"15","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","aubree","Reviewed in the United States on September 17, 2024","5.0 out of 5 stars","I'd like to recommend this entry-level DSLR camera to all users who haven't bought a camera yet. I initially came across it during a digital photography class where it was provided, and subsequently, I purchased it myself! It's incredibly easy to operate and handle, and now I use it as my primary tool for commercial photography. The results are exceptionally clear in well-lit areas. There can be some difficulties when shooting at night without flash, but the photos still turn out great after post-processing! The following photo was taken using the M mode, and it offers a great user experience.The battery life is also impressive. When I'm just taking photos and not recording videos, I can shoot for three to four hours straight without the battery level dropping significantly. However, video recording consumes more battery. Additionally, this camera is highly versatile, producing excellent results in portrait and landscape photography, and is also ideal for street photography.",5,NA
"16","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Iamtroyeisha","Reviewed in the United States on November 18, 2024","","One of the best investments I have made for myself as a baker, a mom and going back into photography!",5,NA
"17","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Iamtroyeisha","Reviewed in Canada on February 2, 2024","Canon","The Canon Rebel T7 camera offers a compelling entry-level experience for photography enthusiasts. Its 24.1-megapixel APS-C CMOS sensor delivers crisp and vibrant images, while the DIGIC 4+ image processor ensures swift performance.The camera's autofocus system performs admirably, especially in well-lit conditions, providing quick and accurate focus on subjects. Its beginner-friendly features, such as Scene Intelligent Auto mode, make it accessible for those new to DSLR photography.The T7's ergonomic design and lightweight build enhance portability without compromising on durability. The 3-inch LCD screen is clear and bright, facilitating easy composition and review of shots.While the camera lacks advanced features like 4K video recording, its Full HD video capabilities produce decent results. Battery life is commendable, allowing for extended shooting sessions without constant recharging.In conclusion, the Canon Rebel T7 is an excellent choice for entry-level photographers seeking a reliable and user-friendly DSLR camera with solid image quality and performance.",5,NA
"18","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Lizzy Crawford","Reviewed in Brazil on June 8, 2023","5.0 out of 5 stars","O produto veio super bem embalado, muito obrigado pelo carinho que vocês tiveram com ele, além disso ele chegou bem antes do que eu esperava e isso não foi nem um pouco ruim. Foi minha primeira experiência comprando uma câmera e vocês meteram a régua lá em cima.",5,NA
"19","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","balavinay","Reviewed in Mexico on May 3, 2023","","",5,NA
"20","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Luis Matheus","Reviewed in Canada on October 18, 2024","Great camera, easy to use.","Toma fotos lindas. Lo único es que no trae estuche. A mí hija le gustó, y es fácil de mover.",5,NA
"21","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Luis Matheus","Reviewed in Brazil on May 29, 2023","4.0 out of 5 stars","",5,NA
"22","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","Marbella Medina Valencia",NA,"","I have always been a canon camera i have a canon A1 since the mid eighties, the camera was great now i needed a camera a lot lighter with the same capacity and i have that now",5,NA
"23","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","David penrith",NA,"FRUSTRATING!! and then you learn...","Chegou super rápido e bem embalado. Ótimo produto com um pós venda incrível!!!! Super recomendo =)Superou todas as minhas expectativas",5,NA
"24","Camera","Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos","LUZINETE RODRIGUES",NA,"5.0 out of 5 stars","",5,NA
"25","Camera","Saneen Digital Camera, 4k Cameras for Photography & Video, 64MP WiFi Touch Screen Vlogging Camera for YouTube with Flash, 32GB SD Card, Lens Hood, 3000mAH Battery, Front and Rear Cameras - Black","Shaun","Reviewed in the United States on December 1, 2024","5.0 out of 5 stars","Each picture is perfect in clarity. The operation of the camera is easy after you read the instructions. The burst mode is my favorite. To take pictures of objects that are moving fast like hummingbirds the clarity of the wings. Wow! Video mode works at a great level. My son uses the camera for his photography class that is a requirement in High School. All school project to date are A grades. For the cost, it out preforms my Pentex 10mp camera that was bought years ago. If I would be asked! I would buy this camera again and again. I am completely satisfied with this product. Words I would use are: Great buy for the price. Perfect picture Clarity.",5,NA
"26","Camera","Saneen Digital Camera, 4k Cameras for Photography & Video, 64MP WiFi Touch Screen Vlogging Camera for YouTube with Flash, 32GB SD Card, Lens Hood, 3000mAH Battery, Front and Rear Cameras - Black","Shaun","Reviewed in the United States on November 18, 2024","","I bought this camera before surprising my best friend at her engagement. We couldn’t get a professional photographer, and I knew she would want good pictures. I’ve never had a real camera, and this one worked great! Simple to use for a beginner, loved that I could get the photos straight to my phone from the camera without having to plug into a laptop. The photos came out great, but I would recommend testing out the settings before using such as brightness, exposure etc. I love that you can adjust these things, and there is an auto adjust feature.",5,NA
